source,path,rel,name,ext,size,mtime,md5,tree,strand,is_text,disposition,git_target,binary_target
complete_archive,archive/Complete Archive/.DS_Store,.DS_Store,.DS_Store,,14340,2026-08-01,3ea8483e2e6d931bc07155fae2f8a4f0,.DS_Store,misc,0,delete-noise,,research/archive/icloud_import/complete_archive_2026.08/misc/
complete_archive,archive/Complete Archive/DDJ Translations/ Canonical_Structural_Lexicon_Expanded.md,DDJ Translations/ Canonical_Structural_Lexicon_Expanded.md, Canonical_Structural_Lexicon_Expanded.md,.md,14095,2025-07-06,2910aa53483d26feb5f50edaf429196b,DDJ Translations,notation,1,keep-text,archive/ddj/lexicons/ Canonical_Structural_Lexicon_Expanded.md,
complete_archive,archive/Complete Archive/DDJ Translations/.DS_Store,DDJ Translations/.DS_Store,.DS_Store,,14340,2026-08-01,60cbaa4346f3ab18cbf46f5986bde130,DDJ Translations,misc,0,delete-noise,,research/archive/icloud_import/complete_archive_2026.08/ddj/.DS_Store
complete_archive,archive/Complete Archive/DDJ Translations/7.16.26_guo.lao.jia_dictionary copy.pdf,DDJ Translations/7.16.26_guo.lao.jia_dictionary copy.pdf,7.16.26_guo.lao.jia_dictionary copy.pdf,.pdf,3833064,2026-07-16,80dedf4fd9d4d45f44d0c327b9b275bd,DDJ Translations,misc,0,keep-binary,,research/archive/icloud_import/complete_archive_2026.08/ddj/7.16.26_guo.lao.jia_dictionary copy.pdf
complete_archive,archive/Complete Archive/DDJ Translations/7.16.26_guo.lao.jia_dictionary.pdf,DDJ Translations/7.16.26_guo.lao.jia_dictionary.pdf,7.16.26_guo.lao.jia_dictionary.pdf,.pdf,3026823,2026-07-16,d3fbb9d062cb98b38e7c7e4e3d5df5d5,DDJ Translations,misc,0,keep-binary,,research/archive/icloud_import/complete_archive_2026.08/ddj/7.16.26_guo.lao.jia_dictionary.pdf
complete_archive,archive/Complete Archive/DDJ Translations/7.23.25_TTC_Lexicon_draft.pdf,DDJ Translations/7.23.25_TTC_Lexicon_draft.pdf,7.23.25_TTC_Lexicon_draft.pdf,.pdf,638879,2025-07-25,bf1cc30c53c8699616b3d0ecdf3d7493,DDJ Translations,notation,0,keep-binary,,research/archive/icloud_import/complete_archive_2026.08/ddj/7.23.25_TTC_Lexicon_draft.pdf
complete_archive,archive/Complete Archive/DDJ Translations/7.23.25_TTC_causalcorrections Tao Te Ching: Systematic Causal Language….pdf,DDJ Translations/7.23.25_TTC_causalcorrections Tao Te Ching: Systematic Causal Language….pdf,7.23.25_TTC_causalcorrections Tao Te Ching: Systematic Causal Language….pdf,.pdf,122088,2025-07-25,4b59cfddefc63bed4b905b126ce1178b,DDJ Translations,misc,0,keep-binary,,research/archive/icloud_import/complete_archive_2026.08/ddj/7.23.25_TTC_causalcorrections Tao Te Ching: Systematic Causal Language….pdf
complete_archive,archive/Complete Archive/DDJ Translations/7.24.25_TTC_Structural Translation.pages,DDJ Translations/7.24.25_TTC_Structural Translation.pages,7.24.25_TTC_Structural Translation.pages,.pages,422188,2025-07-24,4e5e94af696eba5aa1e9e0a1f98c265c,DDJ Translations,misc,0,keep-binary,,research/archive/icloud_import/complete_archive_2026.08/ddj/7.24.25_TTC_Structural Translation.pages
complete_archive,archive/Complete Archive/DDJ Translations/7.24.25_TTC_Structural Translation.pdf,DDJ Translations/7.24.25_TTC_Structural Translation.pdf,7.24.25_TTC_Structural Translation.pdf,.pdf,987275,2025-07-28,10cff631dc324392c2c5ae4e4ed84681,DDJ Translations,misc,0,keep-binary,,research/archive/icloud_import/complete_archive_2026.08/ddj/7.24.25_TTC_Structural Translation.pdf
complete_archive,archive/Complete Archive/DDJ Translations/7.25.25_TTC_Structural_abridged_draft.pdf,DDJ Translations/7.25.25_TTC_Structural_abridged_draft.pdf,7.25.25_TTC_Structural_abridged_draft.pdf,.pdf,115387,2025-07-25,7803b69b4c1914c164cf2fac1be0e5a7,DDJ Translations,book-drafts,0,keep-binary,,research/archive/icloud_import/complete_archive_2026.08/ddj/7.25.25_TTC_Structural_abridged_draft.pdf
