Character_Position,Chapter,Character,Pinyin,Radical,Radical_Meaning,Additional_Components,Classical_Translation,Structural_Translation_Based_on_Radicals,Usage_Notes,Etymology_Notes
1,1,道,dào,辵 (辶),walk/movement,首 (head/first),"way, path, method, doctrine","walking toward the head/primary principle","The first use of 道 as 'Dao' - the fundamental concept",Phono-semantic compound: movement + head
2,1,可,kě,口,mouth,丂 (exhale),can/may/possible,"mouth breathing out - expressing possibility","Modal particle expressing ability or permission",Phono-semantic compound: mouth + exhale
3,1,道,dào,辵 (辶),walk/movement,首 (head/first),"speak, tell, express","walking toward the head/speaking of the way","Second use - as verb meaning 'to speak of/tell'",Same character used with different meaning
4,1,非,fēi,非,wrong/not,,not/is not,"wrong, incorrect, not the case","Direct negation - what is not",Originally depicted flying creatures going in opposite directions
5,1,常,cháng,巾,cloth,尚 (still/yet),constant/eternal,"cloth that endures, permanence","Enduring quality, unchanging nature",Cloth that remains unchanged
6,1,道,dào,辵 (辶),walk/movement,首 (head/first),Dao/the Way,"the way that is beyond walking/speaking","Third use - the absolute/eternal Way",Same character but referring to ultimate reality
7,1,名,míng,口,mouth,夕 (evening),name/reputation,"mouth speaking in darkness - naming","The act of naming, designation",Speaking when vision is limited
8,1,可,kě,口,mouth,丂 (exhale),can/may,"mouth breathing out - expressible","That which can be expressed",Second occurrence of modal possibility
9,1,名,míng,口,mouth,夕 (evening),name/call,"mouth speaking in evening - to name","The act of naming/calling",Same character as noun and verb
10,1,非,fēi,非,wrong/not,,not/is not,"wrong, not the true","Negation of the permanent name",Same negation pattern as line 4
11,1,常,cháng,巾,cloth,尚 (still/yet),constant/eternal,"enduring cloth - permanence","That which does not change",Second use emphasizing permanence
12,1,名,míng,口,mouth,夕 (evening),name,"mouth in evening - designation","The absolute name beyond naming",Third use referring to ultimate designation
13,1,無,wú,火,fire,"(ancient form)",without/non-being,"fire that consumes - nothingness","State of non-existence, void",Ancient form shows concept of absence
14,1,名,míng,口,mouth,夕 (evening),name/designation,"mouth speaking in darkness","The nameless state",Fourth use - absence of naming
15,1,天,tiān,大,big/great,一 (one),heaven/sky,"great one - heaven above","The vast expanse above",One great thing spanning above
16,1,地,dì,土,earth/soil,,earth/ground,"soil, foundation, terrestrial","The foundation beneath",Basic earth element
17,1,之,zhī,丿,slash,,"of, 's (possessive)","connecting slash - relationship","Grammatical connector",Depicts movement or connection
18,1,始,shǐ,女,woman,台 (platform),beginning/start,"woman on platform - origin","The beginning, source",Woman as life-giver suggesting origin
19,1,有,yǒu,月,moon/meat,"(hand holding meat)",to have/exist,"holding substance - having/existence","Possession, existence",Hand grasping something substantial
20,1,名,míng,口,mouth,夕 (evening),name,"mouth in evening - designation","Named existence as mother",Fifth use - naming as creative force
21,1,萬,wàn,艸,grass,禺 (scorpion),ten thousand/myriad,"grass covering like scorpion - multitude","Countless numbers, all things",Originally depicted scorpion-like creature
22,1,物,wù,牛,cow/ox,勿 (do not),thing/object,"ox with prohibition - tangible things","Material objects, phenomena",Ox represents substantial things
23,1,之,zhī,丿,slash,,"of, 's (possessive)","connecting slash - relationship","Possessive connector",Second use of grammatical connector
24,1,母,mǔ,母,mother,,mother/origin,"mother giving birth - source","That which gives birth",Woman with emphasized breasts
25,1,故,gù,攴,strike/tap,古 (ancient),therefore/because,"ancient striking - established reason","Therefore, for this reason",Ancient way of doing things
26,1,常,cháng,巾,cloth,尚 (still/yet),always/constantly,"enduring cloth - always","Constantly, habitually",Fourth use emphasizing continuity
27,1,無,wú,火,fire,"(ancient form)",without/lacking,"fire consuming - absence","Without, in the state of non-being",Second use of void/emptiness
28,1,欲,yù,欠,yawn/lack,谷 (valley),desire/want,"lacking valley - emptiness seeking filling","Desire, craving, want",Yawning mouth seeking to be filled
29,1,以,yǐ,人,person,"(ancient form)",to use/in order to,"person acting - using as means","In order to, by means of",Person as instrument
30,1,觀,guān,見,see,雚 (heron),observe/watch,"seeing like heron - keen observation","To observe closely, contemplate",Heron's keen eyesight for watching
31,1,其,qí,八,eight,箕 (winnowing basket),its/his/her,"eight-fold basket - containing","Its, that which contains",Basket that holds and sorts
32,1,妙,miào,女,woman,少 (young/few),mysterious/wonderful,"young woman - subtle mystery","Mysterious, wonderfully subtle",Young woman's subtle nature
33,1,常,cháng,巾,cloth,尚 (still/yet),always/constantly,"enduring cloth - constantly","Always, in perpetual state",Fifth use of constancy
34,1,有,yǒu,月,moon/meat,"(hand holding meat)",to have/exist,"holding substance - existing","Having, in the state of being",Second use of possession/existence
35,1,欲,yù,欠,yawn/lack,谷 (valley),desire/want,"lacking valley seeking filling","Desire, wanting to obtain",Second use of craving
36,1,以,yǐ,人,person,"(ancient form)",to use/in order to,"person as instrument - by means of","In order to, for the purpose of",Second use as instrumental
37,1,觀,guān,見,see,雚 (heron),observe/watch,"seeing like heron - observing","To observe, to watch carefully",Second use of careful observation
38,1,其,qí,八,eight,箕 (winnowing basket),its/his/her,"eight-fold containing - its","Its, referring to the Dao",Second use of possessive reference
39,1,徼,jiǎo,彳,step/street,堯 (high/lofty),boundary/border,"stepping toward the lofty - outer limits","Boundaries, perimeter, manifestations",Walking toward elevated goal
40,1,此,cǐ,止,stop/foot,匕 (spoon/knife),this/these,"stopping foot - this here","This, these things referred to",Foot stopping to indicate 'here'
41,1,兩,liǎng,一,one,兩 (two/pair),two/both,"one becoming two - duality","Two, both aspects",One dividing into two
42,1,者,zhě,老,old,,"that which, those who","ancient one - that which is","Nominalizing particle - 'that which'",Old person representing accumulated wisdom
43,1,同,tóng,口,mouth,冂 (enclosure),same/together,"mouth within enclosure - unity","Same, unified, together",Mouth within boundary showing unity
44,1,出,chū,凵,container/pit,山 (mountain),come out/emerge,"mountain from container - emergence","To come forth, emerge",Mountain emerging from earth
45,1,而,ér,而,beard,,and/but,"growing beard - gradual connection","And, but, while, connecting",Beard as gradual growth
46,1,異,yì,田,field,巳 (snake),different/strange,"snake in field - different","Different, unusual, strange",Snake's异常 behavior in regular field
47,1,名,míng,口,mouth,夕 (evening),name,"mouth in evening - designation","Name, designation, title",Sixth use of naming concept
48,1,同,tóng,口,mouth,冂 (enclosure),same/together,"mouth in enclosure - sameness","Same, identical nature",Second use of unity
