Loc,1,1.p,2,2.p,3,3.p,4,4.p,5,5.p,6,6p,7,7p,8,8p,9,9p,10,10p,11,11p,12,12p,13,13p,14,14p,15,15p,16,16p,17,17p,18,18p,19,19p,20,20p,21,21p,22,22p,23,23p,24,24p,25,25p,26,26p,27,27p,28,28p,29,29p,30,30p,31,31p,32,32p,33,33p,34,34p,35,35p,36,36p,37,37p,38,38p,39,39p,40,40p,41,41p,42,42p,43,43p,44,44p,45,45p,46,46p,47,47p,48,48p,49,49p,50,50p,51,51p,52,52p,53,53p,54,54p,55,55p,56,56p,57,57p,58,58p,59,59p,60,60p,61,61p,62,62p,63,63p,64,64p,65,65p,66,66p,67,67p,68,68p,69,69p,吾,wú,71,71p,72,72p,73,73p,74,74p,75,75p,76,76p,77,77p,78,78p,79,79p,80,80p,81,81p
1,道,dào,天下,tiān xià,不,bù,道,dào,天,tiān,谷,gǔ,天,tiān,上,shàng,持,chí,載,zài,三,sān,五,wǔ,寵,chǒng,視,shì,古,gǔ,致,zhì,太,tài,大,dà,絕,jué,絕,jué,孔,kǒng,曲,qū,希,xī,企,qǐ,有,yǒu,重,zhòng,善,shàn,知,zhī,將,jiāng,以,yǐ,夫,fū,道,dào,知,zhī,大道,dà dào,執,zhí,將,jiāng,道,dào,上,shàng,昔,xī,反,fǎn,上,shàng,道,dào,天下,tiān xià,名,míng,大,dà,天,tiān,不,bù,為,wéi,聖,shèng,出,chū,道,dào,天下,tiān xià,使,shǐ,善,shàn,含,hán,知,zhī,以,yǐ,其,qí,治,zhì,治,zhì,大,dà,道,dào,為,wéi,其,qí,古,gǔ,江,jiāng,天,tiān,善,shàn,用,yòng,言,yán,知,zhī,民,mín,勇,yǒng,民,mín,民,mín,人,rén,天,tiān,天,tiān,和,hé,小,xiǎo,信,xìn
2,可,kě,皆,jiē,尚,shàng,沖,chōng,地,dì,神,shén,長,cháng,善,shàn,而,ér,營,yíng,十,shí,色,sè,辱,rǔ,之,zhī,之,zhī,虛,xū,上,shàng,道,dào,聖,shèng,學,xué,德,dé,則,zé,言,yán,者,zhě,物,wù,為,wéi,行,xíng,其,qí,欲,yù,道,dào,佳,jiā,常,cháng,人,rén,泛,fàn,大,dà,欲,yù,常,cháng,德,dé,之,zhī,者,zhě,士,shì,生,shēng,之,zhī,與,yǔ,成,chéng,下,xià,出,chū,學,xué,人,rén,生,shēng,生,shēng,有,yǒu,我,wǒ,建,jiàn,德,dé,者,zhě,正,zhèng,政,zhèng,人,rén,大,dà,國,guó,者,zhě,無,wú,安,ān,之,zhī,海,hǎi,下,xià,為,wéi,兵,bīng,甚,shèn,不,bù,不,bù,於,yú,不,bù,之,zhī,之,zhī,之,zhī,下,xià,大,dà,國,guó,言,yán
3,道,dào,知,zhī,賢,xián,而,ér,不,bù,不,bù,地,dì,若,ruò,盈,yíng,魄,pò,輻,fú,令人,lìng rén,若,ruò,不,bù,善,shàn,極,jí,下,xià,廢,fèi,棄,qì,無,wú,之,zhī,全,quán,自,zì,不,bù,混,hùn,輕,qīng,無,wú,雄,xióng,取,qǔ,佐,zuǒ,兵,bīng,無,wú,者,zhě,兮,xī,象,xiàng,歙,xī,無,wú,不,bù,得,dé,道,dào,聞,wén,一,yī,至,zhì,身,shēn,若,ruò,有,yǒu,戶,hù,日,rì,無,wú,入,rù,之,zhī,始,shǐ,介,jiè,者,zhě,之,zhī,不,bù,治,zhì,悶,mèn,事,shì,國,guó,者,zhě,萬,wàn,為,wéi,易,yì,善,shàn,之,zhī,皆,jiē,士,shì,有,yǒu,易,yì,知,zhī,畏,wèi,敢,gǎn,畏,wèi,饑,jī,生,shēng,道,dào,柔,róu,怨,yuàn,寡,guǎ,不,bù
4,非,fēi,美,měi,使,shǐ,用,yòng,仁,rén,死,sǐ,久,jiǔ,水,shuǐ,之,zhī,抱,bào,共,gòng,目,mù,驚,jīng,見,jiàn,為,wéi,守,shǒu,知,zhī,有,yǒu,智,zhì,憂,yōu,容,róng,枉,wǎng,然,rán,立,lì,成,chéng,根,gēn,轍,zhé,守,shǒu,天下,tiān xià,人,rén,者,zhě,名,míng,智,zhì,其,qí,天,tiān,之,zhī,為,wéi,德,dé,一,yī,之,zhī,道,dào,一,yī,柔,róu,孰,shú,缺,quē,道,dào,知,zhī,益,yì,常,cháng,死,sǐ,德,dé,以,yǐ,然,rán,不,bù,厚,hòu,言,yán,國,guó,悶,mèn,天,tiān,若,ruò,下,xià,物,wù,事,shì,持,chí,為,wéi,所以,suǒ yǐ,謂,wèi,者,zhě,言,yán,知,zhī,上,shàng,威,wēi,則,zé,死,sǐ,以,yǐ,也,yě,其,qí,弱,ruò,必,bì,民,mín,美,měi
5,常,cháng,之,zhī,民,mín,之,zhī,以,yǐ,是,shì,天,tiān,水,shuǐ,不,bù,一,yī,一,yī,盲,máng,貴,guì,名,míng,道,dào,靜,jìng,有,yǒu,仁,rén,民,mín,唯,wéi,唯,wéi,則,zé,故,gù,跨,kuà,先,xiān,靜,jìng,跡,jì,其,qí,而,ér,主,zhǔ,不,bù,樸,pǔ,自,zì,可,kě,下,xià,必,bì,而,ér,是,shì,者,zhě,動,dòng,勤,qín,生,shēng,馳,chí,親,qīn,其,qí,卻,què,天,tiān,為,wéi,心,xīn,生,shēng,畜,chù,為,wéi,有,yǒu,拔,bá,比,bǐ,言,yán,以,yǐ,其,qí,莫,mò,烹,pēng,流,liú,之,zhī,無,wú,其,qí,道,dào,能,néng,我,wǒ,不,bù,吾,wú,甚,shèn,不,bù,則,zé,殺,shā,奈,nài,其,qí,柔,róu,猶,yóu,莫,mò,有,yǒu,使,shǐ,美,měi
6,道,dào,為,wéi,不,bù,或,huò,萬,wàn,謂,wèi,地,dì,善,shàn,如,rú,能,néng,轂,gǔ,五,wǔ,大,dà,曰,yuē,者,zhě,篤,dǔ,之,zhī,義,yì,利,lì,之,zhī,道,dào,直,zhí,飄,piāo,者,zhě,天,tiān,為,wéi,善,shàn,雌,cí,為,wéi,者,zhě,祥,xiáng,雖,suī,知,zhī,左右,zuǒ yòu,往,wǎng,固,gù,無,wú,以,yǐ,天,tiān,弱,ruò,而,ér,二,èr,騁,chěng,身,shēn,用,yòng,走,zǒu,下,xià,道,dào,以,yǐ,之,zhī,之,zhī,天,tiān,知,zhī,善,shàn,於,yú,者,zhě,奇,qí,民,mín,若,ruò,小,xiǎo,天,tiān,奧,ào,事,shì,未,wèi,者,zhě,為,wéi,道,dào,武,wǔ,不,bù,易,yì,知,zhī,大,dà,勇,yǒng,何,hé,上,shàng,弱,ruò,張,zhāng,過,guò,餘,yú,有,yǒu,言,yán
7,名,míng,美,měi,爭,zhēng,不,bù,物,wù,玄,xuán,所以,suǒ yǐ,利,lì,其,qí,無,wú,當,dāng,音,yīn,患,huàn,夷,yí,微,wēi,萬,wàn,其次,qí cì,智,zhì,百,bǎi,與,yǔ,是,shì,窪,wā,風,fēng,不,bù,地,dì,躁,zào,言,yán,為,wéi,之,zhī,不,bù,之,zhī,小,xiǎo,者,zhě,萬,wàn,往,wǎng,張,zhāng,不,bù,有,yǒu,得,dé,者,zhě,行,xíng,二,èr,天下,tiān xià,與,yǔ,不,bù,馬,mǎ,不,bù,日,rì,百,bǎi,徒,tú,物,wù,下,xià,行,xíng,抱,bào,赤,chì,不,bù,用,yòng,淳,chún,嗇,sè,鮮,xiǎn,下,xià,善,shàn,味,wèi,兆,zhào,非,fēi,百,bǎi,大,dà,善,shàn,敢,gǎn,行,xíng,知,zhī,威,wēi,於,yú,以,yǐ,食,shí,其,qí,弓,gōng,於,yú,怨,yuàn,什,shí,不,bù
8,可,kě,斯,sī,不,bù,盈,yíng,為,wéi,牝,pìn,能,néng,萬,wàn,已,yǐ,離,lí,其,qí,令人,lìng rén,若,ruò,聽,tīng,妙,miào,物,wù,親,qīn,慧,huì,倍,bèi,阿,ā,從,cóng,則,zé,不,bù,行,xíng,生,shēng,君,jūn,無,wú,天下,tiān xià,吾,wú,以,yǐ,器,qì,天,tiān,明,míng,物,wù,而,ér,之,zhī,為,wéi,德,dé,一,yī,道,dào,之,zhī,生,shēng,之,zhī,貨,huò,弊,bì,以,yǐ,闚,kuī,損,sǔn,姓,xìng,十,shí,形,xíng,母,mǔ,於,yú,者,zhě,子,zǐ,知,zhī,兵,bīng,淳,chún,夫,fū,以,yǐ,之,zhī,人,rén,無,wú,易,yì,以,yǐ,谷,gǔ,似,shì,戰,zhàn,為,wéi,天,tiān,病,bìng,至,zhì,不,bù,死,sǐ,稅,shuì,死,sǐ,也,yě,水,shuǐ,安,ān,伯,bǎi,信,xìn
9,名,míng,惡,è,貴,guì,淵,yuān,芻,chú,玄,xuán,長,cháng,物,wù,揣,chuǎi,乎,hū,無,wú,耳,ěr,身,shēn,之,zhī,玄,xuán,並,bìng,而,ér,出,chū,絕,jué,相,xiāng,道,dào,盈,yíng,終,zhōng,自,zì,寂,jì,是,shì,瑕,xiá,谿,xī,見,jiàn,兵,bīng,物,wù,下,xià,勝,shèng,恃,shì,不,bù,將,jiāng,侯,hóu,下,xià,以,yǐ,之,zhī,中,zhōng,三,sān,至,zhì,孰,shú,大,dà,糞,fèn,牖,yǒu,損,sǔn,心,xīn,有,yǒu,之,zhī,既,jì,大,dà,不,bù,毒,dú,塞,sè,以,yǐ,其,qí,唯,wéi,道,dào,交,jiāo,之,zhī,味,wèi,謀,móu,明,míng,王,wáng,不,bù,者,zhě,主,zhǔ,下,xià,夫,fū,無,wú,敢,gǎn,懼,jù,之,zhī,也,yě,高,gāo,而,ér,可以,kě yǐ,之,zhī,善,shàn
10,非,fēi,已,yǐ,難,nán,兮,xī,狗,gǒu,牝,pìn,且,qiě,而,ér,而,ér,專,zhuān,有,yǒu,聾,lóng,何,hé,不,bù,通,tōng,作,zuò,譽,yù,有,yǒu,仁,rén,去,qù,之,zhī,弊,bì,朝,zhāo,見,jiàn,兮,xī,以,yǐ,讁,zhé,為,wéi,其,qí,強,qiáng,或,huò,不,bù,人,rén,之,zhī,害,hài,欲,yù,王,wáng,德,dé,清,qīng,用,yòng,士,shì,三,sān,堅,jiān,多,duō,盈,yíng,天,tiān,見,jiàn,之,zhī,為,wéi,三,sān,勢,shì,得,dé,道,dào,脫,tuō,蟲,chóng,其,qí,無,wú,政,zhèng,嗇,sè,蒞,lì,天,tiān,寶,bǎo,圖,tú,其,qí,民,mín,者,zhě,肖,xiào,不,bù,而,ér,莫,mò,唯,wéi,狎,xiá,則,zé,之,zhī,多,duō,堅,jiān,者,zhě,攻,gōng,為,wéi,器,qì,者,zhě
