Loc,1,1.p,2,2.p,3,3.p,4,4.p,,,,,,,,
1,道,dào,天,tiān,不,bù,道,dào,,,,,,,,
2,可,kě,下,xià,尚,shàng,沖,chōng,,,,,,,,
3,道,dào,皆,jiē,賢,xián,而,ér,,,,,,,,
4,非,fēi,知,zhī,使,shǐ,用,yòng,,,,,,,,
5,常,cháng,美,měi,民,mín,之,zhī,,,,,,,,
6,道,dào,之,zhī,不,bù,或,huò,,,,,,,,
7,名,míng,為,wéi,爭,zhēng,不,bù,,,,,,,,
8,可,kě,美,měi,不,bù,盈,yíng,,,,,,,,
9,名,míng,斯,sī,貴,guì,淵,yuān,,,,,,,,
10,非,fēi,惡,è,難,nán,兮,xī,,,,,,,,
11,常,cháng,已,yǐ,得,dé,似,sì,,,,,,,,
12,名,míng,皆,jiē,之,zhī,萬,wàn,,,,,,,,
13,無,wú,知,zhī,貨,huò,物,wù,,,,,,,,
14,名,míng,善 ,shan4,使,shǐ,之,zhī,,,,,,,,
15,天,tiān,之,zhī,民,mín,宗,zōng,,,,,,,,
16,地,dì,為,wéi,不,bù,挫,cuò,,,,,,,,
17,之,zhī,善 ,shan4,為,wéi,其,qí,,,,,,,,
18,始,shǐ,斯,si1,盜,dào,銳,ruì,,,,,,,,
19,有,yǒu,不,bu4,不,bù,解,jiě,,,,,,,,
20,名,míng,善,shan4,見,jiàn,其,qí,,,,,,,,
21,萬,wàn,已,yǐ,可,kě,紛,fēn,,,,,,,,
22,物,wù,故,gu4,欲,yù,和,hé,,,,,,,,
23,之,zhī,有,you3,使,shǐ,其,qí,,,,,,,,
24,母,mǔ,無,wú,民,mín,光,guāng,,,,,,,,
25,故,gù,之,zhi1,心,xīn,同,tóng,,,,,,,,
26,常,cháng,相,xiang1,不,bù,其,qí,,,,,,,,
27,無,wú,生,sheng1,亂,luàn,塵,chén,,,,,,,,
28,欲,yù,難,nan2,是,shi4,湛,zhàn,,,,,,,,
29,以,yǐ,易 ,yi4,以,yǐ,兮,xī,,,,,,,,
30,觀,guān,之,zhī,聖,sheng4,似,sì,,,,,,,,
31,其,qí,相,xiang1,人,rén,或,huò,,,,,,,,
32,妙,miào,成,cheng2,之,zhī,存,cún,,,,,,,,
33,常,cháng,長,chang2,治,zhi4,吾,wú,,,,,,,,
34,有,yǒu,短,duan3,虛,xū,不,bù,,,,,,,,
35,欲,yù,之,zhī,其,qí,知,zhī,,,,,,,,
36,以,yǐ,相,xiang1,心,xīn,誰,shuí,,,,,,,,
37,觀,guān,較,jiao4,是,shì,之,zhī,,,,,,,,
38,其,qí,高,gao1,其,qí,子,zǐ,,,,,,,,
39,徼,jiǎo,下,xià,腹,fù,象,xiàng,,,,,,,,
40,此,cǐ,之,zhī,弱,ruò,帝,dì,,,,,,,,
41,兩,liǎng,相,xiang1,其,qí,之,zhī,,,,,,,,
42,者,zhě,傾,qing1,志,zhì,先,xiān,,,,,,,,
43,同,tóng,音,yin,強,qiang2,,,,,,,,,,
44,出,chū,聲,sheng1,其,qí,,,,,,,,,,
45,而,ér,之,zhī,骨,gu3,,,,,,,,,,
46,異,yì,相,xiang1,常,cháng,,,,,,,,,,
47,名,míng,和,he2,使,shǐ,,,,,,,,,,
48,同,tóng,前,qian2,民,mín,,,,,,,,,,
49,謂,wèi,後,hou4,無,wú,,,,,,,,,,
50,之,zhī,之,zhī,知,zhī,,,,,,,,,,
51,玄,xuán,相,xiang1,無,wú,,,,,,,,,,
52,玄,xuán,隨,sui2,欲,yù,,,,,,,,,,
53,之,zhī,是,shi4,使,shǐ,,,,,,,,,,
