,⺮,一,丶,乙,人,亻,八,冫,厂,又,口,囗,土,大,女,子,宀,寸,尸,巾,广,彳,心,忄,戶,手,扌,方,月,木,水,氵,火,牛,玉,目,矢,示,糸,老,而,臼,艸,行,衣,見,言,訁,足,車,辶,金,門,雨,食,馬
⺮,0,2,2,0,0,0,2,0,0,0,2,1,1,1,0,0,0,2,0,0,0,3,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,3,0,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
一,2,85,150,8,145,48,72,1,5,9,198,22,25,150,14,12,16,23,7,11,7,20,18,34,15,1,21,28,43,45,2,28,154,22,1,16,37,16,9,59,64,9,37,14,5,14,23,26,25,8,68,3,12,1,4,8
丶,2,150,68,9,129,42,61,0,9,3,120,25,19,77,11,17,16,6,5,28,7,31,14,15,13,0,16,29,33,21,2,32,123,17,3,13,24,10,6,51,40,8,23,7,1,14,20,22,7,5,54,1,11,0,8,5
乙,0,8,9,0,9,2,4,0,0,1,6,1,1,9,0,0,2,0,0,1,0,1,0,2,0,0,1,0,1,0,1,2,4,1,0,0,2,0,0,1,6,0,0,2,0,1,2,1,1,1,4,0,1,0,2,0
人,0,145,129,9,52,35,59,0,6,4,164,27,25,96,12,9,19,12,6,10,2,20,11,10,16,0,18,28,32,19,1,35,127,16,2,11,39,15,9,31,59,10,23,10,1,9,20,23,9,7,43,1,4,1,5,4
亻,0,48,42,2,35,8,21,0,2,1,57,3,5,21,4,1,7,4,1,6,0,0,1,12,2,1,6,5,17,2,3,5,27,4,1,3,15,5,3,13,17,2,2,4,0,6,5,11,1,3,17,1,2,2,1,1
八,2,72,61,4,59,21,24,0,2,0,84,6,11,62,7,7,10,5,2,8,2,12,13,12,6,0,8,13,19,9,0,19,56,9,0,3,14,8,4,17,23,2,12,8,1,10,10,6,7,1,23,1,0,0,10,5
冫,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
厂,0,5,9,0,6,2,2,0,0,0,1,2,0,3,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,2,7,0,0,2,1,0,0,1,1,0,1,2,0,0,1,1,1,0,3,0,0,0,0,0
又,0,9,3,1,4,1,0,1,0,0,9,1,0,6,1,1,0,0,0,2,0,2,0,0,0,0,1,1,2,2,0,4,7,0,0,0,1,0,1,3,2,0,0,0,0,0,0,1,2,2,2,0,1,0,1,0
口,2,198,120,6,164,57,84,3,1,9,81,24,30,125,17,9,26,12,8,19,2,11,7,19,18,0,17,34,43,28,1,33,117,19,2,11,35,25,7,47,73,6,24,9,5,12,19,24,18,9,67,1,16,1,9,7
囗,1,22,25,1,27,3,6,0,2,1,24,3,5,22,1,3,3,0,1,2,0,4,0,3,2,0,1,4,6,3,0,7,14,3,2,3,5,0,1,5,11,1,2,2,0,1,2,1,1,0,7,0,0,0,1,0
土,1,25,19,1,25,5,11,0,0,0,30,5,0,19,2,0,4,4,0,2,1,5,3,3,3,0,5,1,5,5,0,9,15,2,1,1,4,2,1,8,11,2,6,2,0,4,2,2,2,1,7,0,0,0,0,0
大,1,150,77,9,96,21,62,1,3,6,125,22,19,42,7,8,19,14,5,14,2,16,12,19,3,0,14,19,25,20,1,29,93,10,3,7,30,9,7,39,45,4,19,9,2,17,16,9,5,7,56,0,5,0,6,5
女,0,14,11,0,12,4,7,0,0,1,17,1,2,7,3,2,1,2,4,1,1,0,2,3,3,0,3,5,0,3,0,3,15,1,0,2,3,1,1,5,3,0,1,0,0,1,0,1,0,0,1,1,0,0,2,0
子,0,12,17,0,9,1,7,0,0,1,9,3,0,8,2,0,2,0,0,1,0,1,3,4,2,0,2,4,5,1,0,2,8,5,0,0,2,0,4,5,1,2,1,0,0,1,4,1,0,1,6,0,1,0,0,0
宀,0,16,16,2,19,7,10,0,0,0,26,3,4,19,1,2,2,2,1,1,0,0,0,4,2,0,2,2,6,1,1,6,19,4,0,6,5,0,0,4,8,3,10,1,1,2,4,0,0,1,7,0,2,0,1,2
寸,2,23,6,0,12,4,5,0,0,0,12,0,4,14,2,0,2,2,1,0,1,6,0,4,2,0,1,2,7,2,0,6,14,2,0,2,4,3,0,3,10,0,1,1,1,0,2,2,0,0,9,0,0,0,0,0
尸,0,7,5,0,6,1,2,0,0,0,8,1,0,5,4,0,1,1,0,1,0,0,1,0,0,0,0,2,0,0,0,2,6,1,0,1,0,1,0,0,3,0,1,1,1,1,3,3,1,0,3,0,0,0,0,0
