,⺮,一,丶,乙,人,亻,八,冫,厂,又,口,囗,土,大,女,子,宀,寸,尸,巾,广,彳,心,忄,戶,手,扌,方,月,木,水,氵,火,牛,玉,目,矢,示,糸,老,而,臼,艸,行,衣,見,言,訁,足,車,辶,金,門,雨,食,馬
⺮,0.0,0.010101010101010102,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.005050505050505051,0.005050505050505051,0.0,0.0,0.005050505050505051,0.005050505050505051,0.0,0.0,0.005050505050505051,0.0,0.015151515151515152,0.0,0.0,0.010101010101010102,0.0,0.005050505050505051,0.005050505050505051,0.0,0.0,0.0,0.0,0.005050505050505051,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.0
一,0.010101010101010102,0.4292929292929293,0.7575757575757576,0.04040404040404041,0.7323232323232324,0.24242424242424243,0.36363636363636365,0.005050505050505051,0.025252525252525252,0.045454545454545456,1.0,0.1111111111111111,0.12626262626262627,0.7575757575757576,0.0707070707070707,0.06060606060606061,0.08080808080808081,0.11616161616161616,0.03535353535353535,0.05555555555555555,0.03535353535353535,0.10101010101010101,0.09090909090909091,0.1717171717171717,0.07575757575757576,0.005050505050505051,0.10606060606060606,0.1414141414141414,0.21717171717171718,0.22727272727272727,0.010101010101010102,0.1414141414141414,0.7777777777777778,0.1111111111111111,0.005050505050505051,0.08080808080808081,0.18686868686868688,0.08080808080808081,0.045454545454545456,0.29797979797979796,0.32323232323232326,0.045454545454545456,0.18686868686868688,0.0707070707070707,0.025252525252525252,0.0707070707070707,0.11616161616161616,0.13131313131313133,0.12626262626262627,0.04040404040404041,0.3434343434343434,0.015151515151515152,0.06060606060606061,0.005050505050505051,0.020202020202020204,0.04040404040404041
丶,0.010101010101010102,0.7575757575757576,0.3434343434343434,0.045454545454545456,0.6515151515151515,0.21212121212121213,0.30808080808080807,0.0,0.045454545454545456,0.015151515151515152,0.6060606060606061,0.12626262626262627,0.09595959595959595,0.3888888888888889,0.05555555555555555,0.08585858585858586,0.08080808080808081,0.030303030303030304,0.025252525252525252,0.1414141414141414,0.03535353535353535,0.15656565656565657,0.0707070707070707,0.07575757575757576,0.06565656565656566,0.0,0.08080808080808081,0.14646464646464646,0.16666666666666666,0.10606060606060606,0.010101010101010102,0.16161616161616163,0.6212121212121212,0.08585858585858586,0.015151515151515152,0.06565656565656566,0.12121212121212122,0.050505050505050504,0.030303030303030304,0.25757575757575757,0.20202020202020202,0.04040404040404041,0.11616161616161616,0.03535353535353535,0.005050505050505051,0.0707070707070707,0.10101010101010101,0.1111111111111111,0.03535353535353535,0.025252525252525252,0.2727272727272727,0.005050505050505051,0.05555555555555555,0.0,0.04040404040404041,0.025252525252525252
乙,0.0,0.04040404040404041,0.045454545454545456,0.0,0.045454545454545456,0.010101010101010102,0.020202020202020204,0.0,0.0,0.005050505050505051,0.030303030303030304,0.005050505050505051,0.005050505050505051,0.045454545454545456,0.0,0.0,0.010101010101010102,0.0,0.0,0.005050505050505051,0.0,0.005050505050505051,0.0,0.010101010101010102,0.0,0.0,0.005050505050505051,0.0,0.005050505050505051,0.0,0.005050505050505051,0.010101010101010102,0.020202020202020204,0.005050505050505051,0.0,0.0,0.010101010101010102,0.0,0.0,0.005050505050505051,0.030303030303030304,0.0,0.0,0.010101010101010102,0.0,0.005050505050505051,0.010101010101010102,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.020202020202020204,0.0,0.005050505050505051,0.0,0.010101010101010102,0.0
人,0.0,0.7323232323232324,0.6515151515151515,0.045454545454545456,0.26262626262626265,0.17676767676767677,0.29797979797979796,0.0,0.030303030303030304,0.020202020202020204,0.8282828282828283,0.13636363636363635,0.12626262626262627,0.48484848484848486,0.06060606060606061,0.045454545454545456,0.09595959595959595,0.06060606060606061,0.030303030303030304,0.050505050505050504,0.010101010101010102,0.10101010101010101,0.05555555555555555,0.050505050505050504,0.08080808080808081,0.0,0.09090909090909091,0.1414141414141414,0.16161616161616163,0.09595959595959595,0.005050505050505051,0.17676767676767677,0.6414141414141414,0.08080808080808081,0.010101010101010102,0.05555555555555555,0.19696969696969696,0.07575757575757576,0.045454545454545456,0.15656565656565657,0.29797979797979796,0.050505050505050504,0.11616161616161616,0.050505050505050504,0.005050505050505051,0.045454545454545456,0.10101010101010101,0.11616161616161616,0.045454545454545456,0.03535353535353535,0.21717171717171718,0.005050505050505051,0.020202020202020204,0.005050505050505051,0.025252525252525252,0.020202020202020204
亻,0.0,0.24242424242424243,0.21212121212121213,0.010101010101010102,0.17676767676767677,0.04040404040404041,0.10606060606060606,0.0,0.010101010101010102,0.005050505050505051,0.2878787878787879,0.015151515151515152,0.025252525252525252,0.10606060606060606,0.020202020202020204,0.005050505050505051,0.03535353535353535,0.020202020202020204,0.005050505050505051,0.030303030303030304,0.0,0.0,0.005050505050505051,0.06060606060606061,0.010101010101010102,0.005050505050505051,0.030303030303030304,0.025252525252525252,0.08585858585858586,0.010101010101010102,0.015151515151515152,0.025252525252525252,0.13636363636363635,0.020202020202020204,0.005050505050505051,0.015151515151515152,0.07575757575757576,0.025252525252525252,0.015151515151515152,0.06565656565656566,0.08585858585858586,0.010101010101010102,0.010101010101010102,0.020202020202020204,0.0,0.030303030303030304,0.025252525252525252,0.05555555555555555,0.005050505050505051,0.015151515151515152,0.08585858585858586,0.005050505050505051,0.010101010101010102,0.010101010101010102,0.005050505050505051,0.005050505050505051
八,0.010101010101010102,0.36363636363636365,0.30808080808080807,0.020202020202020204,0.29797979797979796,0.10606060606060606,0.12121212121212122,0.0,0.010101010101010102,0.0,0.42424242424242425,0.030303030303030304,0.05555555555555555,0.31313131313131315,0.03535353535353535,0.03535353535353535,0.050505050505050504,0.025252525252525252,0.010101010101010102,0.04040404040404041,0.010101010101010102,0.06060606060606061,0.06565656565656566,0.06060606060606061,0.030303030303030304,0.0,0.04040404040404041,0.06565656565656566,0.09595959595959595,0.045454545454545456,0.0,0.09595959595959595,0.2828282828282828,0.045454545454545456,0.0,0.015151515151515152,0.0707070707070707,0.04040404040404041,0.020202020202020204,0.08585858585858586,0.11616161616161616,0.010101010101010102,0.06060606060606061,0.04040404040404041,0.005050505050505051,0.050505050505050504,0.050505050505050504,0.030303030303030304,0.03535353535353535,0.005050505050505051,0.11616161616161616,0.005050505050505051,0.0,0.0,0.050505050505050504,0.025252525252525252
冫,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005050505050505051,0.015151515151515152,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
厂,0.0,0.025252525252525252,0.045454545454545456,0.0,0.030303030303030304,0.010101010101010102,0.010101010101010102,0.0,0.0,0.0,0.005050505050505051,0.010101010101010102,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.005050505050505051,0.0,0.010101010101010102,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.0,0.005050505050505051,0.0,0.010101010101010102,0.03535353535353535,0.0,0.0,0.010101010101010102,0.005050505050505051,0.0,0.0,0.005050505050505051,0.005050505050505051,0.0,0.005050505050505051,0.010101010101010102,0.0,0.0,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0
又,0.0,0.045454545454545456,0.015151515151515152,0.005050505050505051,0.020202020202020204,0.005050505050505051,0.0,0.005050505050505051,0.0,0.0,0.045454545454545456,0.005050505050505051,0.0,0.030303030303030304,0.005050505050505051,0.005050505050505051,0.0,0.0,0.0,0.010101010101010102,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.005050505050505051,0.005050505050505051,0.010101010101010102,0.010101010101010102,0.0,0.020202020202020204,0.03535353535353535,0.0,0.0,0.0,0.005050505050505051,0.0,0.005050505050505051,0.015151515151515152,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.005050505050505051,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0,0.005050505050505051,0.0,0.005050505050505051,0.0
口,0.010101010101010102,1.0,0.6060606060606061,0.030303030303030304,0.8282828282828283,0.2878787878787879,0.42424242424242425,0.015151515151515152,0.005050505050505051,0.045454545454545456,0.4090909090909091,0.12121212121212122,0.15151515151515152,0.6313131313131313,0.08585858585858586,0.045454545454545456,0.13131313131313133,0.06060606060606061,0.04040404040404041,0.09595959595959595,0.010101010101010102,0.05555555555555555,0.03535353535353535,0.09595959595959595,0.09090909090909091,0.0,0.08585858585858586,0.1717171717171717,0.21717171717171718,0.1414141414141414,0.005050505050505051,0.16666666666666666,0.5909090909090909,0.09595959595959595,0.010101010101010102,0.05555555555555555,0.17676767676767677,0.12626262626262627,0.03535353535353535,0.23737373737373738,0.3686868686868687,0.030303030303030304,0.12121212121212122,0.045454545454545456,0.025252525252525252,0.06060606060606061,0.09595959595959595,0.12121212121212122,0.09090909090909091,0.045454545454545456,0.3383838383838384,0.005050505050505051,0.08080808080808081,0.005050505050505051,0.045454545454545456,0.03535353535353535
囗,0.005050505050505051,0.1111111111111111,0.12626262626262627,0.005050505050505051,0.13636363636363635,0.015151515151515152,0.030303030303030304,0.0,0.010101010101010102,0.005050505050505051,0.12121212121212122,0.015151515151515152,0.025252525252525252,0.1111111111111111,0.005050505050505051,0.015151515151515152,0.015151515151515152,0.0,0.005050505050505051,0.010101010101010102,0.0,0.020202020202020204,0.0,0.015151515151515152,0.010101010101010102,0.0,0.005050505050505051,0.020202020202020204,0.030303030303030304,0.015151515151515152,0.0,0.03535353535353535,0.0707070707070707,0.015151515151515152,0.010101010101010102,0.015151515151515152,0.025252525252525252,0.0,0.005050505050505051,0.025252525252525252,0.05555555555555555,0.005050505050505051,0.010101010101010102,0.010101010101010102,0.0,0.005050505050505051,0.010101010101010102,0.005050505050505051,0.005050505050505051,0.0,0.03535353535353535,0.0,0.0,0.0,0.005050505050505051,0.0
