radical1,radical2,category1,category2,count,example_pairs
一,口,structure,boundary,198,"下-谷, 下-谷, 不-谷, 不-谷, 下-名"
人,口,agent,boundary,164,"企-善, 企-知, 善-以, 知-以, 以-知"
一,火,structure,transformation,154,"下-為, 不-為, 為-下, 無-下, 下-為"
一,丶,structure,structure,150,"之-下, 之-下, 不-之, 不-之, 不-之"
一,大,structure,magnitude,150,"天-下, 天-不, 下-天, 下-天, 不-天"
一,人,structure,agent,145,"下-以, 下-人, 人-不, 人-下, 下-人"
丶,人,structure,agent,129,"之-以, 之-以, 以-之, 以-之, 以-之"
人,火,agent,transformation,127,"人-無, 以-然, 為-以, 為-以, 以-烹"
口,大,boundary,magnitude,125,"天-谷, 天-谷, 天-谷, 天-谷, 谷-天"
丶,火,structure,transformation,123,"無-之, 之-為, 無-之, 無-之, 為-之"
丶,口,structure,boundary,120,"善-之, 之-知, 名-之, 之-知, 之-善"
口,火,boundary,transformation,117,"名-為, 為-善, 善-無, 為-善, 為-知"
人,大,agent,magnitude,96,"以-夫, 以-大, 以-大, 人-天, 人-天"
大,火,magnitude,transformation,93,"大-為, 天-為, 為-天, 大-為, 為-天"
八,口,structure,boundary,84,"善-其, 含-其, 知-其, 其-善, 名-其"
丶,大,structure,magnitude,77,"大-之, 大-之, 之-大, 之-大, 之-大"
口,而,boundary,connection,73,"善-而, 知-而, 而-可, 可-而, 器-而"
一,八,structure,structure,72,"下-其, 其-不, 其-不, 不-其, 其-不"
一,辶,structure,motion,68,"道-下, 道-不, 下-道, 不-道, 道-下"
口,辶,boundary,motion,67,"道-谷, 道-谷, 善-道, 知-道, 道-知"
一,而,structure,connection,64,"而-不, 而-不, 而-不, 下-而, 而-不"
火,辶,transformation,motion,63,"為-道, 道-為, 為-道, 無-道, 為-道"
八,大,structure,magnitude,62,"其-大, 大-其, 其-天, 其-天, 其-天"
丶,八,structure,structure,61,"其-之, 其-之, 之-其, 其-之, 其-之"
一,老,structure,entity,59,"者-下, 者-不, 者-不, 不-者, 下-者"
人,八,agent,structure,59,"以-其, 其-人, 人-其, 以-其, 以-其"
人,而,agent,connection,59,"以-而, 以-而, 而-以, 而-以, 以-而"
亻,口,agent,boundary,57,"使-善, 使-含, 使-知, 名-仁, 仁-唯"
八,火,structure,transformation,56,"其-為, 為-其, 為-其, 其-為, 其-為"
大,辶,magnitude,motion,56,"道-天, 道-天, 天-道, 道-天, 道-天"
火,而,transformation,connection,55,"無-而, 而-為, 為-而, 無-而, 而-為"
丶,辶,structure,motion,54,"之-道, 之-道, 之-道, 之-道, 之-道"
丶,老,structure,entity,51,"之-者, 者-之, 者-之, 之-者, 者-之"
一,亻,structure,agent,48,"下-使, 不-使, 不-仁, 使-不, 不-何"
口,老,boundary,entity,47,"者-善, 者-名, 者-知, 可-者, 者-善"
月,火,temporal,transformation,47,"有-無, 為-有, 有-然, 為-有, 為-有"
一,木,structure,structure,45,"不-極, 不-棄, 極-下, 下-棄, 棄-不"
大,而,magnitude,connection,45,"天-而, 天-而, 而-大, 奇-而, 天-而"
火,老,transformation,entity,44,"者-為, 者-無, 無-者, 者-無, 無-者"
一,月,structure,temporal,43,"有-不, 有-不, 不-有, 有-不, 有-不"
人,辶,agent,motion,43,"以-道, 以-道, 以-道, 道-人, 往-以"
口,月,boundary,temporal,43,"有-善, 有-知, 善-有, 有-知, 知-有"
丶,亻,structure,agent,42,"仁-之, 侯-之, 作-之, 仁-之, 似-之"
丶,而,structure,connection,40,"而-之, 而-之, 之-而, 之-而, 而-之"
人,矢,agent,perception,39,"企-知, 知-以, 以-知, 知-以, 知-人"
大,老,magnitude,entity,39,"大-者, 者-大, 大-者, 天-者, 者-天"
一,矢,structure,perception,37,"下-知, 下-知, 知-不, 知-不, 不-知"
一,艸,structure,other,37,"不-若, 不-若, 若-不, 若-下, 若-下"
人,亻,agent,agent,35,"使-以, 人-似, 以-似, 侯-以, 以-偽"
人,氵,agent,fluid,35,"以-治, 以-治, 人-泛, 以-流, 淳-以"
口,矢,boundary,perception,35,"善-知, 知-知, 知-知, 善-知, 含-知"
氵,火,fluid,transformation,35,"治-為, 治-為, 為-江, 無-海, 海-為"
一,忄,structure,internal,34,"怨-不, 怨-不, 怨-不, 慧-不, 下-恃"
口,方,boundary,direction,34,"知-於, 善-於, 善-於, 知-於, 於-可"
丶,月,structure,temporal,33,"有-之, 之-有, 有-之, 有-之, 之-有"
口,氵,boundary,fluid,33,"善-治, 含-治, 含-治, 知-治, 知-治"
丶,氵,structure,fluid,32,"泛-之, 之-海, 之-混, 之-治, 流-之"
人,月,agent,temporal,32,"企-有, 有-以, 人-有, 有-以, 有-人"
丶,彳,structure,other,31,"德-之, 德-之, 之-德, 德-之, 之-德"
人,老,agent,entity,31,"者-人, 人-者, 人-者, 以-者, 者-以"
口,土,boundary,structure,30,"知-執, 可-地, 地-善, 知-地, 地-善"
大,矢,magnitude,perception,30,"知-夫, 夫-知, 知-大, 天-知, 知-大"
丶,方,structure,direction,29,"於-之, 於-之, 於-之, 之-於, 之-於"
大,氵,magnitude,fluid,29,"治-大, 治-大, 大-江, 江-天, 泛-大"
忄,火,internal,transformation,29,"為-憂, 憂-然, 無-患, 無-懼, 怒-為"
火,矢,transformation,perception,29,"為-知, 為-知, 知-無, 為-知, 知-為"
火,艸,transformation,other,29,"若-無, 若-為, 無-若, 為-若, 為-若"
一,方,structure,direction,28,"不-於, 不-於, 於-不, 於-下, 於-不"
一,氵,structure,fluid,28,"海-下, 海-不, 不-混, 不-治, 不-淳"
丶,巾,structure,cloth,28,"常-之, 常-之, 常-之, 常-之, 常-之"
人,方,agent,direction,28,"於-以, 以-於, 於-以, 於-以, 於-人"
口,木,boundary,structure,28,"善-極, 善-棄, 柔-知, 吾-棄, 各-棄"
人,囗,agent,boundary,27,"人-國, 以-國, 固-以, 固-以, 國-以"
亻,火,agent,transformation,27,"無-佐, 佐-無, 使-為, 無-似, 似-為"
一,訁,structure,communication,26,"不-謂, 謀-不, 不-譽, 讁-不, 不-謂"
口,宀,boundary,constraint,26,"知-容, 安-名, 味-寵, 寵-名, 寵-可"
一,土,structure,structure,25,"不-地, 不-地, 不-地, 不-地, 地-不"
一,足,structure,motion,25,"跡-不, 不-足, 足-不, 足-不, 足-不"
丶,囗,structure,boundary,25,"國-之, 之-國, 之-國, 之-國, 之-國"
人,土,agent,structure,25,"以-地, 地-以, 地-以, 堂-人, 地-以"
口,示,boundary,perception,25,"可-神, 神-善, 善-祥, 祥-知, 神-器"
大,月,magnitude,temporal,25,"奈-有, 有-天, 大-有, 有-大, 天-有"
丶,矢,structure,perception,24,"之-知, 之-知, 之-知, 知-之, 知-之"
口,囗,boundary,boundary,24,"國-知, 國-善, 知-固, 合-國, 固-名"
口,艸,boundary,other,24,"若-善, 善-若, 若-善, 可-若, 口-若"
口,訁,boundary,communication,24,"謂-知, 謂-善, 唯-謀, 味-謀, 謂-吾"
方,火,direction,transformation,24,"為-於, 無-於, 於-無, 於-為, 無-於"
一,寸,structure,action,23,"下-將, 不-將, 將-下, 專-不, 下-將"
一,言,structure,communication,23,"下-言, 言-不, 不-言, 言-下, 言-不"
丶,艸,structure,other,23,"若-之, 若-之, 之-若, 若-之, 之-若"
人,艸,agent,other,23,"若-人, 人-若, 人-若, 以-若, 人-若"
人,訁,agent,communication,23,"以-謂, 以-讁, 識-人, 以-謂, 謂-以"
八,而,structure,connection,23,"其-而, 其-而, 其-而, 其-而, 而-其"
八,辶,structure,motion,23,"其-道, 道-其, 其-道, 其-道, 其-道"
一,囗,structure,boundary,22,"下-國, 不-國, 不-國, 國-下, 圖-不"
一,牛,structure,entity,22,"下-物, 不-物, 不-物, 物-下, 物-不"
丶,訁,structure,communication,22,"之-謀, 譽-之, 謂-之, 謂-之, 之-謂"
囗,大,boundary,magnitude,22,"大-國, 大-國, 國-天, 固-天, 天-圖"
一,扌,structure,action,21,"下-持, 下-抱, 抱-不, 抑-不, 搏-不"
丶,木,structure,structure,21,"極-之, 棄-之, 之-柔, 之-棄, 樂-之"
